Group No;Group Name;CH No;Name;SEL;Frequency;Dup;Offset;Mode;DATA;Filter;TONE;Repeater Tone;TSQL Frequency;DTCS Code;DTCS Polarity;DV SQL;DV CSQL Code;Your Call Sign;RPT1 Call Sign;RPT2 Call Sign;Split;Frequency(2);Dup(2);Offset(2);Mode(2);DATA(2);Filter(2);TONE(2);Repeater Tone(2);TSQL Frequency(2);DTCS Code(2);DTCS Polarity(2);DV SQL(2);DV CSQL Code(2);Your Call Sign(2);RPT1 Call Sign(2);RPT2 Call Sign(2)
00;Satellite;80;ISS;OFF;437,805000;OFF;0,600000;FM;OFF;1;OFF;67,0Hz;67,0Hz;023;BOTH N;;;;;;ON;145,990000;OFF;7,600000;FM;OFF;1;TONE;67,0Hz;67,0Hz;023;BOTH N;;;;;
00;Satellite;81;ISS Mid;OFF;437,800000;OFF;0,600000;FM;OFF;1;OFF;67,0Hz;67,0Hz;023;BOTH N;;;;;;ON;145,990000;OFF;7,600000;FM;OFF;1;TONE;67,0Hz;67,0Hz;023;BOTH N;;;;;
00;Satellite;82;ISS;OFF;437,795000;OFF;0,600000;FM;OFF;1;OFF;67,0Hz;67,0Hz;023;BOTH N;;;;;;ON;145,990000;OFF;7,600000;FM;OFF;1;TONE;67,0Hz;67,0Hz;023;BOTH N;;;;;
00;Satellite;83;ISS LOS;OFF;437,790000;OFF;0,600000;FM;OFF;1;OFF;67,0Hz;67,0Hz;023;BOTH N;;;;;;ON;145,990000;OFF;7,600000;FM;OFF;1;TONE;67,0Hz;67,0Hz;023;BOTH N;;;;;
00;Satellite;84;SO-50 AOS;OFF;436,805000;OFF;0,600000;FM;OFF;1;OFF;67,0Hz;67,0Hz;023;BOTH N;;;;;;ON;145,850000;OFF;7,600000;FM;OFF;1;TONE;67,0Hz;67,0Hz;023;BOTH N;;;;;
00;Satellite;85;SO-50;OFF;436,800000;OFF;0,600000;FM;OFF;1;OFF;67,0Hz;67,0Hz;023;BOTH N;;;;;;ON;145,850000;OFF;7,600000;FM;OFF;1;TONE;67,0Hz;67,0Hz;023;BOTH N;;;;;
00;Satellite;86;SO-50 Mid;OFF;436,795000;OFF;0,600000;FM;OFF;1;OFF;67,0Hz;67,0Hz;023;BOTH N;;;;;;ON;145,850000;OFF;7,600000;FM;OFF;1;TONE;67,0Hz;67,0Hz;023;BOTH N;;;;;
00;Satellite;87;SO-50;OFF;436,790000;OFF;0,600000;FM;OFF;1;OFF;67,0Hz;67,0Hz;023;BOTH N;;;;;;ON;145,850000;OFF;7,600000;FM;OFF;1;TONE;67,0Hz;67,0Hz;023;BOTH N;;;;;
00;Satellite;88;SO-50 LOS;OFF;436,785000;OFF;0,600000;FM;OFF;1;OFF;67,0Hz;67,0Hz;023;BOTH N;;;;;;ON;145,850000;OFF;7,600000;FM;OFF;1;TONE;67,0Hz;67,0Hz;023;BOTH N;;;;;
00;Satellite;89;AO-27 AOS;OFF;436,805000;OFF;0,600000;FM;OFF;1;OFF;67,0Hz;67,0Hz;023;BOTH N;;;;;;ON;145,850000;OFF;7,600000;FM;OFF;1;TONE;67,0Hz;67,0Hz;023;BOTH N;;;;;
